iteration,classifier,accuracy,sensitivity,specificity,config,best_classifier
4,Nearest Neighbors,0.59375,0.3695652173913043,0.6643835616438356,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",RBF SVM
4,Linear SVM,0.5885416666666666,0.3695652173913043,0.6575342465753424,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",RBF SVM
4,RBF SVM,0.765625,0.021739130434782608,1.0,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",RBF SVM
4,Gaussian Process,0.7135416666666666,0.2391304347826087,0.863013698630137,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",RBF SVM
4,Decision Tree,0.5989583333333334,0.5869565217391305,0.6027397260273972,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",RBF SVM
4,Random Forest,0.6510416666666666,0.43478260869565216,0.7191780821917808,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",RBF SVM
4,Neural Net,0.671875,0.43478260869565216,0.7465753424657534,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",RBF SVM
4,AdaBoost,0.671875,0.3695652173913043,0.7671232876712328,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",RBF SVM
4,Naive Bayes,0.5260416666666666,0.5,0.5342465753424658,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",RBF SVM
4,QDA,0.6145833333333334,0.32608695652173914,0.7054794520547946,"{'chroma': {'n_chroma': 12}, 'spectral_centroid': {}}",RBF SVM
6,Nearest Neighbors,0.640625,0.5217391304347826,0.678082191780822,"{'zero_crossing_rate': {}, 'spectral_contrast': {'fmin': 50, 'n_bands': 6}}",RBF SVM
6,Linear SVM,0.625,0.6304347826086957,0.6232876712328768,"{'zero_crossing_rate': {}, 'spectral_contrast': {'fmin': 50, 'n_bands': 6}}",RBF SVM
6,RBF SVM,0.75,0.0,0.9863013698630136,"{'zero_crossing_rate': {}, 'spectral_contrast': {'fmin': 50, 'n_bands': 6}}",RBF SVM
6,Gaussian Process,0.71875,0.2826086956521739,0.8561643835616438,"{'zero_crossing_rate': {}, 'spectral_contrast': {'fmin': 50, 'n_bands': 6}}",RBF SVM
6,Decision Tree,0.6510416666666666,0.5434782608695652,0.684931506849315,"{'zero_crossing_rate': {}, 'spectral_contrast': {'fmin': 50, 'n_bands': 6}}",RBF SVM
6,Random Forest,0.7239583333333334,0.6304347826086957,0.7534246575342466,"{'zero_crossing_rate': {}, 'spectral_contrast': {'fmin': 50, 'n_bands': 6}}",RBF SVM
